المدينة,التصنيف,المنتج,قطاع_العميل,مبلغ_التمويل,قيمة_القسط,تاريخ_الصرف,جنس_العميل,عمر_العميل,ألحاله_الإجتماعية,إحتياجات_خاصة,عدد_أفراد_الأسره,زود_الإدخاري,القيمة
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,116590,>= 1000,2024-07,انثى,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الدمام,حر,قرض النقل التشاركي,قطاع حكومي,153835,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع خميس مشيط,حر,قرض النقل التشاركي,قطاع حكومي,106032.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع ينبع,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بريدة,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع حائل,حر,قرض النقل التشاركي,قطاع حكومي,138440,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جدة,حر,قرض النقل التشاركي,قطاع حكومي,140035,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بيشة,حر,قرض النقل التشاركي,قطاع حكومي,108282.75,>= 1000,2024-07,ذكر,< 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,< 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بريدة,حر,قرض النقل التشاركي,قطاع حكومي,85000,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,108282.75,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع نجران,حر,قرض النقل التشاركي,قطاع حكومي,129755,>= 1000,2024-07,ذكر,< 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع نجران,حر,قرض النقل التشاركي,قطاع حكومي,142285,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جازان,حر,قرض النقل التشاركي,قطاع حكومي,138725,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,1,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,119505,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,121255,>= 1000,2024-07,ذكر,< 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جدة,حر,قرض النقل التشاركي,قطاع حكومي,155745,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع القنفذة,حر,قرض النقل التشاركي,متقاعد,144895,>= 1000,2024-07,ذكر,>= 60,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,132745,>= 1000,2024-07,ذكر,>= 30,مطلق,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,121755,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع خميس مشيط,حر,قرض النقل التشاركي,قطاع حكومي,119505,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,111235,>= 1000,2024-07,انثى,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,106032.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,108282.75,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالمدينة المنورة,حر,قرض النقل التشاركي,قطاع حكومي,129755,>= 1000,2024-07,ذكر,< 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالإحساء,حر,قرض النقل التشاركي,قطاع حكومي,142285,>= 1000,2024-07,انثى,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالمدينة المنورة,حر,قرض النقل التشاركي,قطاع حكومي,130725,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالإحساء,حر,قرض النقل التشاركي,قطاع حكومي,111928.25,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,111235,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,انثى,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع القنفذة,حر,قرض النقل التشاركي,قطاع حكومي,129755,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,120497.5,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الدمام,حر,قرض النقل التشاركي,قطاع حكومي,141890,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع خميس مشيط,حر,قرض النقل التشاركي,قطاع حكومي,112497.5,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالإحساء,حر,قرض النقل التشاركي,قطاع حكومي,90164.5,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,1,0
بنك التنمية الإجتماعية فرع بيشة,حر,قرض النقل التشاركي,قطاع حكومي,108282.75,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع حفر الباطن,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الدمام,حر,قرض النقل التشاركي,قطاع حكومي,119505,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,215501,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بمكة المكرمة,حر,قرض النقل التشاركي,قطاع حكومي,138725,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,1,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,121755,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالإحساء,حر,قرض النقل التشاركي,قطاع حكومي,138725,>= 1000,2024-07,انثى,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بمكة المكرمة,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,138440,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,121755,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جدة,حر,قرض النقل التشاركي,قطاع حكومي,106032.75,>= 1000,2024-07,ذكر,< 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بريدة,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,انثى,>= 30,مطلق,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع القنفذة,حر,قرض النقل التشاركي,قطاع حكومي,111928.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,129755,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,121755,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,شركة حكومية,119928.25,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,141890,>= 1000,2024-07,انثى,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع نجران,حر,قرض النقل التشاركي,قطاع حكومي,111928.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالإحساء,حر,قرض النقل التشاركي,متقاعد,115678.25,>= 1000,2024-07,ذكر,>= 40,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,125790,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالإحساء,حر,قرض النقل التشاركي,قطاع حكومي,130225,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,1,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالمدينة المنورة,حر,قرض النقل التشاركي,قطاع حكومي,116590,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بريدة,حر,قرض النقل التشاركي,قطاع حكومي,190790,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بيشة,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع نجران,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع وادي الدواسر,حر,قرض النقل التشاركي,قطاع حكومي,106032.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع ينبع,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,108282.75,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جازان,حر,قرض النقل التشاركي,قطاع حكومي,75936.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,107500,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع عرعر,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع المجمعة,حر,قرض النقل التشاركي,قطاع حكومي,190790,>= 1000,2024-07,انثى,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جدة,حر,قرض النقل التشاركي,قطاع حكومي,129755,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,141890,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,109678.25,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع نجران,حر,قرض النقل التشاركي,قطاع حكومي,129755,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالمدينة المنورة,حر,قرض النقل التشاركي,قطاع حكومي,124745,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,106032.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع المجمعة,حر,قرض النقل التشاركي,قطاع حكومي,111928.25,>= 1000,2024-07,انثى,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع نجران,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالمدينة المنورة,حر,قرض النقل التشاركي,قطاع حكومي,133890,>= 1000,2024-07,انثى,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,103782.75,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,121255,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,111928.25,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,142285,>= 1000,2024-07,انثى,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جازان,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع حائل,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع حائل,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع نجران,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جدة,حر,قرض النقل التشاركي,قطاع حكومي,149940,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جازان,حر,قرض النقل التشاركي,قطاع حكومي,111428.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جازان,حر,قرض النقل التشاركي,قطاع حكومي,119505,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جدة,حر,قرض النقل التشاركي,قطاع حكومي,214138.55,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,160694,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع ينبع,حر,قرض النقل التشاركي,قطاع حكومي,90534.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,155745,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,1,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,190790,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,130785,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع خميس مشيط,حر,قرض النقل التشاركي,قطاع حكومي,121585,>= 1000,2024-07,انثى,>= 40,مطلق,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الدوادمي,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,129755,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالإحساء,حر,قرض النقل التشاركي,قطاع حكومي,132745,>= 1000,2024-07,ذكر,>= 30,أرمل,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع نجران,حر,قرض النقل التشاركي,قطاع حكومي,121255,>= 1000,2024-07,ذكر,>= 30,متزوج,نعم,غير معروف,0,0
بنك التنمية الإجتماعية بمكة المكرمة,حر,قرض النقل التشاركي,قطاع حكومي,190790,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بيشة,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع تبوك,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جدة,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بمكة المكرمة,حر,قرض النقل التشاركي,شركة حكومية,125790,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية بالإحساء,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع حفر الباطن,حر,قرض النقل التشاركي,قطاع حكومي,129755,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,291930.9,>= 1000,2024-07,ذكر,>= 30,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,138440,>= 1000,2024-07,انثى,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع خميس مشيط,حر,قرض النقل التشاركي,قطاع حكومي,106032.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,138440,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,119928.25,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,119505,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
